id,name,area,code
1891819219625353216,30,5533.36,null
1891820536309653504,31,5600.03,null
1891820867219267584,32,5666.70,null
1891821697230086144,33,8333.38,null
1891822716580175872,36,6266.70,null
1891822967093370880,37,6866.70,null
1891823144638259200,38,6066.70,null
1891823423307816960,39,5540.03,null
1891823619731267584,40,5933.36,null
1891823874275188736,41,2400.01,null
1891824245924077568,42,4266.69,null
1891824556982050816,43,2533.35,null
1901477857038049280,1,3486.68,null
1901478066941992960,2,3440.02,null
1901478159908741120,3,3480.02,null
1901478250698645504,4,3560.02,null
1901478357028446208,5,1213.34,null
1901478465031774208,6,3466.68,null
1901478578525446144,7,3413.35,null
1901478711140950016,8,3286.68,null
1901478816942268416,9,3513.35,null
1901478962346205184,10,1166.67,null
1901479091472048128,11,3853.35,null
1901479235957432320,12,3966.69,null
1901479349740511232,13,3980.02,null
1901479503096848384,14,4866.69,null
1901479631820038144,15,4340.02,null
1901479888112984064,17,3240.02,null
1901480038592028672,18,3020.02,null
1901480136478695424,19,3086.68,null
1901480278892093440,20,3993.35,null
1901480445254967296,21,3073.35,null
1901480554692747264,23,1320.01,null
1901480688168083456,24,5120.03,null
1901480806573285376,25,5293.36,null
1901480933362900992,26,5286.69,null
1901481053940752384,27,7180.04,null
1901481203845177344,28,5466.69,null
1901481355163082752,29,2586.68,null
1901482103712129024,34,6000.03,null
1901482275678593024,35,4053.35,null
1901508509087178752,16,3786.69,null
